2026-07-27 14:09:33,851 [INFO] Démarrage de la collecte Vigie TBM (intervalle: 60s)
2026-07-27 14:09:34,540 [INFO] OK - 1571 entités, 49384 observations mises à jour (feed ts=1785154164)
2026-07-27 14:10:34,542 [INFO] OK - 1577 entités, 49336 observations mises à jour (feed ts=1785154224)
2026-07-27 14:11:34,519 [INFO] OK - 1574 entités, 49246 observations mises à jour (feed ts=1785154284)
2026-07-27 14:12:34,528 [INFO] OK - 1574 entités, 49231 observations mises à jour (feed ts=1785154344)
2026-07-27 14:13:34,528 [INFO] OK - 1576 entités, 49282 observations mises à jour (feed ts=1785154404)
2026-07-27 14:14:34,546 [INFO] OK - 1578 entités, 49436 observations mises à jour (feed ts=1785154464)
2026-07-27 14:15:34,542 [INFO] OK - 1577 entités, 49509 observations mises à jour (feed ts=1785154524)
2026-07-27 14:16:34,593 [INFO] OK - 1581 entités, 49436 observations mises à jour (feed ts=1785154584)
2026-07-27 14:17:34,563 [INFO] OK - 1574 entités, 49278 observations mises à jour (feed ts=1785154644)
2026-07-27 14:18:34,674 [INFO] OK - 1573 entités, 49249 observations mises à jour (feed ts=1785154704)
2026-07-27 14:19:34,550 [INFO] OK - 1571 entités, 49114 observations mises à jour (feed ts=1785154764)
2026-07-27 14:20:34,626 [INFO] OK - 1578 entités, 49223 observations mises à jour (feed ts=1785154824)
2026-07-27 14:21:34,558 [INFO] OK - 1593 entités, 49557 observations mises à jour (feed ts=1785154884)
2026-07-27 14:22:34,625 [INFO] OK - 1586 entités, 49459 observations mises à jour (feed ts=1785154944)
2026-07-27 14:23:34,554 [INFO] OK - 1588 entités, 49555 observations mises à jour (feed ts=1785155004)
2026-07-27 14:24:34,532 [INFO] OK - 1585 entités, 49482 observations mises à jour (feed ts=1785155064)
2026-07-27 14:25:34,543 [INFO] OK - 1577 entités, 49044 observations mises à jour (feed ts=1785155124)
2026-07-27 14:26:34,542 [INFO] OK - 1579 entités, 49088 observations mises à jour (feed ts=1785155184)
2026-07-27 14:27:34,539 [INFO] OK - 1574 entités, 49020 observations mises à jour (feed ts=1785155244)
2026-07-27 14:28:34,601 [INFO] OK - 1575 entités, 49032 observations mises à jour (feed ts=1785155304)
2026-07-27 14:29:34,590 [INFO] OK - 1574 entités, 48942 observations mises à jour (feed ts=1785155364)
2026-07-27 14:30:34,554 [INFO] OK - 1570 entités, 48802 observations mises à jour (feed ts=1785155424)
2026-07-27 14:31:34,522 [INFO] OK - 1577 entités, 48925 observations mises à jour (feed ts=1785155484)
2026-07-27 14:32:34,542 [INFO] OK - 1568 entités, 48668 observations mises à jour (feed ts=1785155544)
2026-07-27 14:33:34,563 [INFO] OK - 1568 entités, 48653 observations mises à jour (feed ts=1785155604)
2026-07-27 14:34:34,563 [INFO] OK - 1564 entités, 48569 observations mises à jour (feed ts=1785155664)
2026-07-27 14:35:34,619 [INFO] OK - 1562 entités, 48508 observations mises à jour (feed ts=1785155724)
2026-07-27 14:36:34,569 [INFO] OK - 1567 entités, 48641 observations mises à jour (feed ts=1785155784)
2026-07-27 14:37:34,570 [INFO] OK - 1563 entités, 48539 observations mises à jour (feed ts=1785155844)
2026-07-27 14:38:34,577 [INFO] OK - 1553 entités, 48212 observations mises à jour (feed ts=1785155904)
2026-07-27 14:39:34,557 [INFO] OK - 1545 entités, 48040 observations mises à jour (feed ts=1785155964)
2026-07-27 14:40:34,573 [INFO] OK - 1545 entités, 48027 observations mises à jour (feed ts=1785156024)
2026-07-27 14:41:34,547 [INFO] OK - 1542 entités, 47889 observations mises à jour (feed ts=1785156084)
